"proteinSearched","gene","EnsemblID","EntrezSummary","GeneCardsSummary","UniProtKB_Summary","todaysDate"
"col4a5","COL4A5","ENSG00000188153","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. Mutations in this gene are associated with X-linked Alport syndrome, also known as hereditary nephritis. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. Alternatively spliced transcript variants have been identified for this gene. [provided by RefSeq, Aug 2010]","                                            COL4A5 (Collagen Type IV Alpha 5 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A5 include Alport Syndrome 1, X-Linked and Alport Syndrome.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A1.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A5_HUMAN,P29400
                         ","Wed Sep 09 08:46:53 2020"
"col4a5","COL4A6","ENSG00000197565","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene, alpha 5 type IV collagen, so that the gene pair shares a common promoter. Deletions in the alpha 5 gene that extend into the alpha 6 gene result in diffuse leiomyomatosis accompanying the X-linked Alport syndrome caused by the deletion in the alpha 5 gene. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Dec 2013]","                                            COL4A6 (Collagen Type IV Alpha 6 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A6 include Deafness, X-Linked 6 and X-Linked Non-Syndromic Sensorineural Deafness Type Dfn.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A2.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A6_HUMAN,Q14031
                         ","Wed Sep 09 08:46:55 2020"
"col4a5","COL4A3","ENSG00000169031","Type IV collagen, the major structural component of basement membranes, is a multimeric protein composed of 3 alpha subunits. These subunits are encoded by 6 different genes, alpha 1 through alpha 6, each of which can form a triple helix structure with 2 other subunits to form type IV collagen. This gene encodes alpha 3. In the Goodpasture syndrome, autoantibodies bind to the collagen molecules in the basement membranes of alveoli and glomeruli. The epitopes that elicit these autoantibodies are localized largely to the non-collagenous C-terminal domain of the protein. A specific kinase phosphorylates amino acids in this same C-terminal region and the expression of this kinase is upregulated during pathogenesis. This gene is also linked to an autosomal recessive form of Alport syndrome. The mutations contributing to this syndrome are also located within the exons that encode this C-terminal region. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jun 2010]","                                            COL4A3 (Collagen Type IV Alpha 3 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A3 include Alport Syndrome 3, Autosomal Dominant and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include structural molecule activity and extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A3_HUMAN,Q01955
                         ","Wed Sep 09 08:46:56 2020"
"col4a5","COL4A4","ENSG00000081052","This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. This particular collagen IV subunit, however, is only found in a subset of basement membranes. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. Mutations in this gene are associated with type II autosomal recessive Alport syndrome (hereditary glomerulonephropathy) and with familial benign hematuria (thin basement membrane disease). Two transcripts, differing only in their transcription start sites, have been identified for this gene and, as is common for collagen genes, multiple polyadenylation sites are found in the 3' UTR. [provided by RefSeq, Jul 2008]","                                            COL4A4 (Collagen Type IV Alpha 4 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A4 include Hematuria, Benign Familial and Alport Syndrome 2, Autosomal Recessive.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent.                                            An important paralog of this gene is COL4A6.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A4_HUMAN,P53420
                         ","Wed Sep 09 08:46:57 2020"
"col4a5","AMMECR1","ENSG00000101935","The exact function of this gene is not known, however, submicroscopic deletion of the X chromosome including this gene, COL4A5, and FACL4 genes, result in a contiguous gene deletion syndrome, the AMME complex (Alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis). Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2010]","                                            AMMECR1 (AMMECR Nuclear Protein 1) is a Protein Coding gene.                                            Diseases associated with AMMECR1 include Midface Hypoplasia, Hearing Impairment, Elliptocytosis, And Nephrocalcinosis and Amme Complex.                                                                                                                                    An important paralog of this gene is AMMECR1L.","no summary","Wed Sep 09 08:47:00 2020"
"col4a5","ACSL4","ENSG00000068366","The protein encoded by this gene is an isozyme of the long-chain fatty-acid-coenzyme A ligase family. Although differing in substrate specificity, subcellular localization, and tissue distribution, all isozymes of this family convert free long-chain fatty acids into fatty acyl-CoA esters, and thereby play a key role in lipid biosynthesis and fatty acid degradation. This isozyme preferentially utilizes arachidonate as substrate. The absence of this enzyme may contribute to the cognitive disability or Alport syndrome. Alternative splicing of this gene generates multiple transcript variants. [provided by RefSeq, Jan 2016]","                                            ACSL4 (Acyl-CoA Synthetase Long Chain Family Member 4) is a Protein Coding gene.                                            Diseases associated with ACSL4 include Non-Syndromic X-Linked Intellectual Disability and Stroke, Ischemic.                                            Among its related pathways are Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. and Fatty acid biosynthesis (KEGG).                                            Gene Ontology (GO) annotations related to this gene include long-chain fatty acid-CoA ligase activity and arachidonate-CoA ligase activity.                                            An important paralog of this gene is ACSL3.","Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoA for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:24269233, PubMed:22633490, PubMed:21242590). Preferentially activates arachidonate and eicosapentaenoate as substrates (PubMed:21242590). Preferentially activates 8,9-EET > 14,15-EET > 5,6-EET > 11,12-EET. Modulates glucose-stimulated insulin secretion by regulating the levels of unesterified EETs (By similarity). Modulates prostaglandin E2 secretion (PubMed:21242590).
                         ACSL4_HUMAN,O60488
                         ","Wed Sep 09 08:47:01 2020"
"col4a5","COL4A1","ENSG00000187498","This gene encodes a type IV collagen alpha protein. Type IV collagen proteins are integral components of basement membranes. This gene shares a bidirectional promoter with a paralogous gene on the opposite strand. The protein consists of an amino-terminal 7S domain, a triple-helix forming collagenous domain, and a carboxy-terminal non-collagenous domain. It functions as part of a heterotrimer and interacts with other extracellular matrix components such as perlecans, proteoglycans, and laminins. In addition, proteolytic cleavage of the non-collagenous carboxy-terminal domain results in a biologically active fragment known as arresten, which has anti-angiogenic and tumor suppressor properties. Mutations in this gene cause porencephaly, cerebrovascular disease, and renal and muscular defects. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]","                                            COL4A1 (Collagen Type IV Alpha 1 Chain) is a Protein Coding gene.                                            Diseases associated with COL4A1 include Retinal Arteries, Tortuosity Of and Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include extracellular matrix structural constituent and extracellular matrix constituent conferring elasticity.                                            An important paralog of this gene is COL4A5.","Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a 'chicken-wire' meshwork together with laminins, proteoglycans and entactin/nidogen.
                         CO4A1_HUMAN,P02462
                         ","Wed Sep 09 08:47:03 2020"
"col4a5","KCNE5","ENSG00000176076","This gene encodes a member of a family of single pass transmembrane domain proteins that function as ancillary subunits to voltage-gated potassium channels. Members of this family affect diverse processes in potassium channel regulation, including ion selectivity, voltage dependence, and anterograde recycling from the plasma membrane. Variants of this gene are associated with idiopathic ventricular fibrillation and Brugada syndrome. [provided by RefSeq, Nov 2016]","                                            KCNE5 (Potassium Voltage-Gated Channel Subfamily E Regulatory Subunit 5) is a Protein Coding gene.                                            Diseases associated with KCNE5 include Brugada Syndrome and Amme Complex.                                            Among its related pathways are Cardiac conduction and Phase 0 - rapid depolarisation.                                            Gene Ontology (GO) annotations related to this gene include ion channel binding and potassium channel regulator activity.                                            An important paralog of this gene is KCNE3.","Potassium channel ancillary subunit that is essential for generation of some native K(+) currents by virtue of formation of heteromeric ion channel complex with voltage-gated potassium (Kv) channel pore-forming alpha subunits. Functions as an inhibitory beta-subunit of the repolarizing cardiac potassium ion channel KCNQ1.
                         KCNE5_HUMAN,Q9UJ90
                         ","Wed Sep 09 08:47:06 2020"
"col4a5","AMMEC","NA","                                            AMMEC (Alport Syndrome, Mental Retardation, Midface Hypoplasia, And Elliptocytosis) is a Genetic Locus.                                            Diseases associated with AMMEC include Amme Complex and Alport Syndrome.                                                                                                                                    ","                                            AMMEC (Alport Syndrome, Mental Retardation, Midface Hypoplasia, And Elliptocytosis) is a Genetic Locus.                                            Diseases associated with AMMEC include Amme Complex and Alport Syndrome.                                                                                                                                    ","no summary","Wed Sep 09 08:47:09 2020"
"col4a5","COL1A2","ENSG00000164692","This gene encodes the pro-alpha2 chain of type I collagen whose triple helix comprises two alpha1 chains and one alpha2 chain. Type I is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis and tendon. Mutations in this gene are associated with osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIB, recessive Ehlers-Danlos syndrome Classical type, idiopathic osteoporosis, and atypical Marfan syndrome. Symptoms associated with mutations in this gene, however, tend to be less severe than mutations in the gene for the alpha1 chain of type I collagen (COL1A1) reflecting the different role of alpha2 chains in matrix integrity. Three transcripts, resulting from the use of alternate polyadenylation signals, have been identified for this gene. [provided by R. Dalgleish, Feb 2008]","                                            COL1A2 (Collagen Type I Alpha 2 Chain) is a Protein Coding gene.                                            Diseases associated with COL1A2 include Osteogenesis Imperfecta, Type Iii and Osteogenesis Imperfecta, Type Iv.                                            Among its related pathways are Integrin Pathway and Collagen chain trimerization.                                            Gene Ontology (GO) annotations related to this gene include identical protein binding and protein binding, bridging.                                            An important paralog of this gene is COL2A1.","Type I collagen is a member of group I collagen (fibrillar forming collagen).
                         CO1A2_HUMAN,P08123
                         ","Wed Sep 09 08:47:10 2020"
